shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
DEMO_OUTBOUND,35.6812,139.7671,1,0
DEMO_OUTBOUND,35.6880,139.7450,2,2150
DEMO_OUTBOUND,35.6950,139.7230,3,4300
DEMO_OUTBOUND,35.7020,139.7010,4,6450
DEMO_OUTBOUND,35.7090,139.6790,5,8600
DEMO_OUTBOUND,35.7160,139.6570,6,10750
DEMO_INBOUND,35.7160,139.6570,1,0
DEMO_INBOUND,35.7090,139.6790,2,2150
DEMO_INBOUND,35.7020,139.7010,3,4300
DEMO_INBOUND,35.6950,139.7230,4,6450
DEMO_INBOUND,35.6880,139.7450,5,8600
DEMO_INBOUND,35.6812,139.7671,6,10750
