trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled
OUT_001,06:00:00,06:00:00,STOP_A,1,0
OUT_001,06:08:00,06:09:00,STOP_B,2,2150
OUT_001,06:16:00,06:17:00,STOP_C,3,4300
OUT_001,06:24:00,06:25:00,STOP_D,4,6450
OUT_001,06:32:00,06:33:00,STOP_E,5,8600
OUT_001,06:40:00,06:40:00,STOP_F,6,10750
OUT_002,08:00:00,08:00:00,STOP_A,1,0
OUT_002,08:08:00,08:09:00,STOP_B,2,2150
OUT_002,08:16:00,08:17:00,STOP_C,3,4300
OUT_002,08:24:00,08:25:00,STOP_D,4,6450
OUT_002,08:32:00,08:33:00,STOP_E,5,8600
OUT_002,08:40:00,08:40:00,STOP_F,6,10750
OUT_003,12:00:00,12:00:00,STOP_A,1,0
OUT_003,12:08:00,12:09:00,STOP_B,2,2150
OUT_003,12:16:00,12:17:00,STOP_C,3,4300
OUT_003,12:24:00,12:25:00,STOP_D,4,6450
OUT_003,12:32:00,12:33:00,STOP_E,5,8600
OUT_003,12:40:00,12:40:00,STOP_F,6,10750
OUT_004,16:00:00,16:00:00,STOP_A,1,0
OUT_004,16:08:00,16:09:00,STOP_B,2,2150
OUT_004,16:16:00,16:17:00,STOP_C,3,4300
OUT_004,16:24:00,16:25:00,STOP_D,4,6450
OUT_004,16:32:00,16:33:00,STOP_E,5,8600
OUT_004,16:40:00,16:40:00,STOP_F,6,10750
OUT_005,20:00:00,20:00:00,STOP_A,1,0
OUT_005,20:08:00,20:09:00,STOP_B,2,2150
OUT_005,20:16:00,20:17:00,STOP_C,3,4300
OUT_005,20:24:00,20:25:00,STOP_D,4,6450
OUT_005,20:32:00,20:33:00,STOP_E,5,8600
OUT_005,20:40:00,20:40:00,STOP_F,6,10750
OUT_NIGHT,24:30:00,24:30:00,STOP_A,1,0
OUT_NIGHT,24:38:00,24:39:00,STOP_B,2,2150
OUT_NIGHT,24:46:00,24:47:00,STOP_C,3,4300
OUT_NIGHT,24:54:00,24:55:00,STOP_D,4,6450
OUT_NIGHT,25:02:00,25:03:00,STOP_E,5,8600
OUT_NIGHT,25:10:00,25:10:00,STOP_F,6,10750
IN_001,06:40:00,06:40:00,STOP_F,1,0
IN_001,06:48:00,06:49:00,STOP_E,2,2150
IN_001,06:56:00,06:57:00,STOP_D,3,4300
IN_001,07:04:00,07:05:00,STOP_C,4,6450
IN_001,07:12:00,07:13:00,STOP_B,5,8600
IN_001,07:20:00,07:20:00,STOP_A,6,10750
IN_002,09:00:00,09:00:00,STOP_F,1,0
IN_002,09:08:00,09:09:00,STOP_E,2,2150
IN_002,09:16:00,09:17:00,STOP_D,3,4300
IN_002,09:24:00,09:25:00,STOP_C,4,6450
IN_002,09:32:00,09:33:00,STOP_B,5,8600
IN_002,09:40:00,09:40:00,STOP_A,6,10750
IN_003,13:00:00,13:00:00,STOP_F,1,0
IN_003,13:08:00,13:09:00,STOP_E,2,2150
IN_003,13:16:00,13:17:00,STOP_D,3,4300
IN_003,13:24:00,13:25:00,STOP_C,4,6450
IN_003,13:32:00,13:33:00,STOP_B,5,8600
IN_003,13:40:00,13:40:00,STOP_A,6,10750
IN_004,17:00:00,17:00:00,STOP_F,1,0
IN_004,17:08:00,17:09:00,STOP_E,2,2150
IN_004,17:16:00,17:17:00,STOP_D,3,4300
IN_004,17:24:00,17:25:00,STOP_C,4,6450
IN_004,17:32:00,17:33:00,STOP_B,5,8600
IN_004,17:40:00,17:40:00,STOP_A,6,10750
IN_005,21:00:00,21:00:00,STOP_F,1,0
IN_005,21:08:00,21:09:00,STOP_E,2,2150
IN_005,21:16:00,21:17:00,STOP_D,3,4300
IN_005,21:24:00,21:25:00,STOP_C,4,6450
IN_005,21:32:00,21:33:00,STOP_B,5,8600
IN_005,21:40:00,21:40:00,STOP_A,6,10750
IN_006,23:00:00,23:00:00,STOP_F,1,0
IN_006,23:08:00,23:09:00,STOP_E,2,2150
IN_006,23:16:00,23:17:00,STOP_D,3,4300
IN_006,23:24:00,23:25:00,STOP_C,4,6450
IN_006,23:32:00,23:33:00,STOP_B,5,8600
IN_006,23:40:00,23:40:00,STOP_A,6,10750
